city,grade,gender,age,visit_count,avg_price,target
부산,Silver,Male,21,5,322579,1
제주,Silver,Female,25,6,73965,0
대구,Bronze,Female,47,4,342066,0
대구,Gold,Female,48,8,107799,0
서울,Silver,Female,45,9,103948,0
서울,Bronze,Female,44,3,153314,0
서울,Gold,Female,31,7,258099,0
대전,Gold,Female,24,8,281091,0
대구,Gold,Male,53,2,253322,0
대구,Silver,Female,56,4,212538,0
서울,Silver,Male,34,6,244778,0
제주,Bronze,Female,63,5,265821,0
광주,Gold,Female,55,4,202888,0
서울,Gold,Male,34,4,320929,1
서울,Bronze,Female,62,8,272651,0
서울,Bronze,Female,42,4,168223,1
서울,Bronze,Male,25,4,21618,0
부산,Gold,Female,65,4,346430,1
부산,VIP,Female,63,7,288266,1
서울,Bronze,Male,62,4,148426,0
대구,Silver,Female,64,7,96436,0
서울,Bronze,Male,40,3,220448,0
서울,VIP,Female,42,8,146109,0
부산,Gold,Female,62,5,38633,0
부산,Gold,Female,35,5,296639,0
광주,Silver,Male,34,2,336694,0
서울,Bronze,Female,44,6,222456,0
부산,Bronze,Female,55,7,308627,0
대구,Bronze,Male,30,2,306213,0
서울,Gold,Female,34,6,148442,0
대구,Gold,Male,23,6,129873,0
서울,VIP,Female,40,2,81947,0
서울,VIP,Male,32,4,180205,0
대전,Silver,Male,41,5,237107,0
제주,Gold,Male,38,2,105761,0
광주,Gold,Female,53,3,38926,0
서울,Gold,Male,33,5,114700,0
서울,Bronze,Female,23,5,346128,0
대구,Silver,Male,65,6,59593,1
부산,Bronze,Male,46,6,347753,0
서울,VIP,Female,48,2,15209,0
부산,Silver,Female,47,5,136700,0
서울,Bronze,Male,54,4,96597,0
대전,Silver,Female,27,4,279355,0
서울,Silver,Female,35,7,19927,1
대구,Bronze,Female,61,4,218535,0
서울,Bronze,Male,55,4,127333,0
부산,Silver,Male,49,3,165666,0
부산,Silver,Female,37,7,215924,1
서울,Gold,Male,21,5,218785,0
제주,Silver,Female,32,4,348526,0
광주,Gold,Female,23,5,149005,0
대전,Silver,Female,45,6,113780,0
대전,Silver,Female,44,7,50696,0
대구,Gold,Female,49,8,206521,1
대전,Bronze,Male,30,5,339760,0
서울,Bronze,Female,26,5,167195,0
서울,Bronze,Male,50,7,60013,0
서울,Gold,Male,63,4,226486,0
서울,Silver,Female,29,5,321700,0
부산,Silver,Female,58,7,249350,0
서울,Bronze,Female,32,7,36140,0
광주,Bronze,Female,50,4,273328,0
부산,Bronze,Male,26,3,165918,0
서울,Bronze,Male,61,9,121361,0
부산,Silver,Female,61,5,163267,0
서울,Bronze,Male,55,5,277750,0
광주,Bronze,Male,39,5,26555,0
서울,Gold,Male,23,2,100385,0
제주,Bronze,Male,26,11,330646,0
광주,Silver,Male,20,7,265658,0
서울,Gold,Male,63,2,167419,0
서울,Bronze,Male,64,9,239797,0
광주,Silver,Male,61,7,113844,1
대구,Gold,Female,32,4,101321,0
대구,Gold,Male,41,1,321200,0
광주,Bronze,Male,40,5,204923,0
서울,Gold,Female,41,6,108234,0
부산,Silver,Male,47,3,237705,0
서울,Bronze,Female,28,3,211283,0
