city,product,grade,gender,age,price,buy
부산,USB허브,VIP,Male,60,27127,1
포항,스마트워치,VIP,Female,33,290688,1
대전,키보드,VIP,Male,34,82930,1
광주,노트북,Silver,Female,50,1330450,0
서울,마우스,Bronze,Female,20,34045,0
서울,모니터,VIP,Male,22,312942,1
서울,USB허브,Silver,Female,35,28199,1
강릉,외장하드,VIP,Female,42,129692,1
광주,노트북,VIP,Male,30,1112967,1
대전,태블릿,Gold,Male,31,691418,1
서울,모니터,Bronze,Male,29,400403,1
포항,마우스,Silver,Male,51,29933,0
제주,노트북,Gold,Male,35,1138350,1
서울,키보드,Bronze,Female,27,83201,1
서울,충전기,Bronze,Male,57,18440,1
서울,키보드,Silver,Male,31,69820,1
부산,태블릿,VIP,Female,43,622064,1
대구,웹캠,Gold,Male,47,79957,1
대구,모니터,Silver,Female,27,313449,0
부산,공유기,Bronze,Male,47,89164,1
광주,공유기,Silver,Male,55,104226,1
서울,마우스,VIP,Female,45,27136,1
부산,태블릿,Bronze,Female,27,667590,1
부산,키보드,Silver,Female,47,89522,1
대구,키보드,Gold,Female,47,79375,0
제주,노트북,Gold,Female,56,1260320,0
서울,이어폰,Gold,Male,60,135254,0
대구,태블릿,Gold,Male,55,635380,1
광주,노트북,Silver,Female,46,1034712,1
서울,키보드,Bronze,Female,36,72054,0
광주,스마트워치,Gold,Female,28,280073,1
서울,마우스,Gold,Male,52,27093,1
서울,마우스,Gold,Male,39,26298,1
포항,태블릿,VIP,Female,32,620333,1
포항,마이크,Silver,Male,47,108705,1
제주,마우스,Silver,Female,48,27357,0
부산,스피커,Gold,Female,32,115113,0
서울,프린터,Silver,Male,54,250256,1
대전,마우스,Gold,Female,25,31713,1
대구,웹캠,Gold,Female,37,77561,1
서울,모니터,Gold,Male,24,381438,0
대구,스피커,Bronze,Female,44,124604,1
서울,스피커,Silver,Female,21,104943,1
전주,태블릿,Bronze,Female,29,778451,0
부산,노트북,Silver,Male,49,1351514,0
광주,USB허브,Bronze,Female,24,21708,0
부산,키보드,Silver,Male,52,74645,0
대구,마우스,Silver,Male,20,32755,1
대구,노트북,Bronze,Female,37,1289373,0
서울,이어폰,Silver,Male,51,135803,1
포항,스피커,Bronze,Male,30,109536,0
제주,노트북,Bronze,Female,40,1153369,1
포항,태블릿,Gold,Female,45,696749,1
전주,마우스,Silver,Female,44,31064,0
광주,스피커,Bronze,Female,41,115280,1
전주,마우스,Silver,Male,46,29662,0
서울,웹캠,Gold,Male,32,96681,1
서울,모니터,Bronze,Male,52,301351,0
서울,충전기,Silver,Female,53,18514,0
부산,마우스,Bronze,Female,60,31920,0
부산,키보드,Bronze,Female,54,89484,1
부산,노트북,Silver,Female,20,1204203,0
제주,충전기,Silver,Male,40,20192,0
부산,외장하드,Silver,Female,25,114679,1
부산,키보드,Gold,Male,47,78737,0
대구,스피커,VIP,Female,36,121174,1
서울,USB허브,Silver,Male,24,23068,1
제주,이어폰,Bronze,Female,50,139615,1
서울,태블릿,Gold,Male,24,674229,1
목포,마우스,Bronze,Male,57,25680,0
제주,노트북,Silver,Male,22,1135948,0
서울,스마트워치,Bronze,Female,42,274030,1
서울,스마트워치,Bronze,Female,56,284474,0
제주,스피커,VIP,Male,56,106311,1
대전,키보드,Gold,Male,29,89372,1
대전,키보드,Gold,Female,29,82246,0
제주,웹캠,Silver,Male,38,94835,1
서울,스마트워치,Bronze,Female,36,326025,1
부산,스마트워치,Bronze,Female,40,299859,0
서울,프린터,Bronze,Male,33,219019,1
강릉,스피커,Silver,Male,28,121335,1
광주,노트북,Gold,Female,20,1231262,1
부산,마우스,Gold,Male,32,32208,1
서울,스마트워치,Bronze,Male,23,293849,0
부산,이어폰,VIP,Female,20,133241,1
부산,노트북,Gold,Female,59,1122159,1
대전,노트북,Silver,Female,51,1150709,1
광주,스피커,Silver,Female,53,125253,1
강릉,노트북,Silver,Male,47,1225480,1
대구,마우스,Bronze,Male,50,28704,1
서울,이어폰,Silver,Female,27,171893,1
대전,웹캠,Gold,Female,58,92855,1
대전,스피커,Bronze,Male,45,110540,0
대구,마우스,Bronze,Female,53,26416,0
제주,웹캠,Bronze,Male,22,80627,1
대구,마우스,Bronze,Female,31,27713,1
대구,키보드,Gold,Male,20,71856,1
부산,웹캠,Gold,Male,24,81537,1
서울,스피커,Silver,Male,49,112263,0
서울,외장하드,Bronze,Male,49,117261,1
서울,스피커,Silver,Male,36,134283,1
광주,이어폰,Silver,Female,42,131110,1
부산,노트북,Bronze,Female,34,1208824,0
대구,모니터,Silver,Female,56,340591,1
전주,키보드,Silver,Female,40,91577,1
서울,마우스,Silver,Male,33,26508,0
부산,공유기,Silver,Male,21,96935,0
대전,모니터,Bronze,Female,30,399294,0
서울,스마트워치,Silver,Male,58,332895,0
서울,스피커,Silver,Female,57,131414,0
부산,프린터,Silver,Male,53,231842,0
서울,태블릿,Gold,Female,57,630886,1
전주,이어폰,Gold,Male,53,157588,0
제주,태블릿,Bronze,Female,37,790168,0
광주,마우스,Bronze,Female,49,30510,1
강릉,웹캠,Silver,Female,34,91933,1
제주,키보드,Bronze,Male,46,74719,1
서울,노트북,Silver,Female,53,1297017,1
전주,스피커,VIP,Female,57,108733,1
대구,마우스,Silver,Female,52,28413,0
