OrderID,Distance_km,Pizza_Count,Traffic_Score,Rain,Weekend,Temperature_C,Prep_Time_min,Delivery_Time_min
PZ0001,4.06,2,4,0,0,24.0,10.0,56.7
PZ0002,9.53,4,4,0,1,17.5,13.7,77.2
PZ0003,7.45,1,3,1,0,31.3,8.4,60.8
PZ0004,6.19,6,1,0,0,22.7,15.9,57.8
PZ0005,1.98,1,3,0,0,29.1,10.6,37.5
PZ0006,1.98,1,1,0,1,22.4,8.7,31.4
PZ0007,1.05,1,5,0,0,34.4,10.4,38.1
PZ0008,8.73,3,2,1,0,32.5,10.8,65.6
PZ0009,6.21,6,2,1,0,20.5,17.0,67.2
PZ0010,7.23,1,2,0,1,27.8,11.1,53.8
PZ0011,0.7,4,3,0,0,25.9,10.6,35.5
PZ0012,9.71,5,5,0,1,30.2,14.0,83.2
PZ0013,8.41,1,1,0,1,16.2,10.1,55.1
PZ0014,2.52,3,4,0,0,26.1,12.0,51.0
PZ0015,2.23,6,1,0,0,28.4,16.8,36.2
PZ0016,2.24,3,4,0,1,11.4,11.5,50.9
PZ0017,3.39,1,1,0,0,14.9,9.5,38.6
PZ0018,5.49,6,5,0,0,9.8,16.2,62.1
PZ0019,4.6,5,4,1,1,20.4,16.4,67.2
PZ0020,3.27,1,3,0,1,26.3,9.7,42.4
PZ0021,6.31,3,1,0,1,31.0,12.6,49.2
PZ0022,1.83,2,1,0,1,22.4,10.3,31.7
PZ0023,3.28,4,4,0,0,31.8,13.0,48.3
PZ0024,3.98,3,3,0,0,13.7,11.7,53.6
PZ0025,4.83,6,3,0,1,11.8,16.9,65.2
PZ0026,7.96,1,5,0,0,21.7,8.9,67.6
PZ0027,2.4,4,3,0,0,24.3,13.9,47.9
PZ0028,5.39,1,3,0,1,21.8,11.9,49.1
PZ0029,6.13,6,3,0,0,9.6,17.4,63.3
PZ0030,0.94,1,2,0,0,21.5,9.0,30.5
PZ0031,6.27,2,5,1,0,14.2,12.2,63.3
PZ0032,2.12,4,1,0,0,26.0,13.1,40.0
PZ0033,1.12,4,4,0,0,24.2,11.2,42.0
PZ0034,9.51,6,1,0,0,16.4,15.2,68.2
PZ0035,9.67,2,5,0,0,18.9,8.6,73.7
PZ0036,8.18,3,4,0,0,15.6,11.8,68.1
PZ0037,3.39,1,5,0,1,21.6,9.4,49.1
PZ0038,1.43,5,3,0,0,27.7,17.0,49.4
PZ0039,7.0,1,4,0,1,16.1,9.8,56.9
PZ0040,4.68,1,3,0,0,25.0,9.1,47.6
PZ0041,1.66,3,1,0,0,18.8,13.2,36.3
PZ0042,5.2,1,1,0,1,17.2,6.7,41.3
PZ0043,0.83,2,4,0,0,21.4,11.1,39.0
PZ0044,9.14,2,4,0,1,15.8,11.7,67.1
PZ0045,2.96,4,5,0,0,18.7,11.8,55.7
PZ0046,6.79,6,5,1,1,14.8,17.8,81.4
PZ0047,3.46,5,3,0,0,33.8,15.4,50.7
PZ0048,5.44,1,4,0,1,22.2,8.9,57.2
PZ0049,5.69,1,1,0,0,17.8,10.2,41.5
PZ0050,2.26,3,5,0,1,23.3,14.9,48.8
PZ0051,9.71,6,5,0,0,21.3,16.6,79.0
PZ0052,7.86,2,1,0,0,20.7,11.1,55.6
PZ0053,9.43,5,5,1,1,25.7,14.4,83.7
PZ0054,9.0,4,3,0,0,26.5,12.6,74.0
PZ0055,6.18,2,4,0,0,18.8,11.8,51.5
PZ0056,9.26,6,1,0,0,18.5,15.4,73.7
PZ0057,1.34,4,4,0,0,20.3,13.7,45.7
PZ0058,2.36,3,5,0,0,8.2,11.6,48.6
PZ0059,0.93,3,5,1,0,12.9,12.8,48.3
PZ0060,3.59,1,1,0,1,30.2,9.8,39.5
PZ0061,4.19,6,3,1,0,31.9,17.6,63.4
PZ0062,3.08,5,2,1,0,20.5,14.4,55.9
PZ0063,8.37,4,1,0,1,25.5,13.3,63.4
PZ0064,3.89,2,2,0,1,23.9,9.6,44.7
PZ0065,3.17,6,2,0,0,40.5,15.9,49.1
PZ0066,5.66,6,3,0,0,28.7,16.9,62.7
PZ0067,1.84,3,2,0,0,21.2,13.1,39.2
PZ0068,8.12,1,2,0,0,16.3,8.3,49.3
PZ0069,1.21,1,3,0,0,12.4,10.4,30.0
PZ0070,9.88,4,2,0,0,23.2,15.2,72.5
PZ0071,7.84,3,2,1,0,17.5,12.7,65.7
PZ0072,2.39,6,2,0,0,13.5,18.7,48.5
PZ0073,0.55,5,1,1,1,18.1,14.1,42.7
PZ0074,8.25,3,1,0,1,15.5,10.7,60.3
PZ0075,7.22,4,1,0,0,32.1,11.5,53.7
PZ0076,7.43,4,3,0,0,27.3,15.4,62.5
PZ0077,7.83,3,5,0,0,22.0,13.0,70.0
PZ0078,1.2,4,2,1,1,30.9,13.5,43.1
PZ0079,3.91,3,2,0,0,22.5,12.5,46.6
PZ0080,1.6,2,3,1,0,16.8,9.4,37.0
PZ0081,8.7,3,2,0,1,31.1,15.1,69.8
PZ0082,6.42,3,1,0,1,25.2,12.4,55.1
PZ0083,3.64,4,5,0,1,15.8,13.7,59.8
PZ0084,1.1,4,4,1,1,20.9,14.5,55.6
PZ0085,3.45,1,2,1,0,16.7,10.0,49.1
PZ0086,3.59,1,1,0,0,13.7,9.7,38.8
PZ0087,7.43,2,4,0,1,27.6,9.9,58.1
PZ0088,6.56,1,5,0,1,33.5,10.0,58.1
PZ0089,8.93,3,4,0,0,13.6,14.5,69.2
PZ0090,4.99,4,1,1,0,25.4,15.2,55.1
PZ0091,1.64,1,4,1,0,18.1,11.3,46.3
