Distance_km,Delivery_Time_min
4.06,56.7
9.53,77.2
7.45,60.8
6.19,57.8
1.98,37.5
1.98,31.4
1.05,38.1
8.73,65.6
6.21,67.2
7.23,53.8
0.7,35.5
9.71,83.2
8.41,55.1
2.52,51.0
2.23,36.2
2.24,50.9
3.39,38.6
5.49,62.1
4.6,67.2
3.27,42.4
6.31,49.2
1.83,31.7
3.28,48.3
3.98,53.6
4.83,65.2
7.96,67.6
2.4,47.9
5.39,49.1
6.13,63.3
0.94,30.5
6.27,63.3
2.12,40.0
1.12,42.0
9.51,68.2
9.67,73.7
8.18,68.1
3.39,49.1
1.43,49.4
7.0,56.9
4.68,47.6
1.66,36.3
5.2,41.3
0.83,39.0
9.14,67.1
2.96,55.7
6.79,81.4
3.46,50.7
5.44,57.2
5.69,41.5
2.26,48.8
9.71,79.0
7.86,55.6
9.43,83.7
9.0,74.0
6.18,51.5
9.26,73.7
1.34,45.7
2.36,48.6
0.93,48.3
3.59,39.5
4.19,63.4
3.08,55.9
8.37,63.4
3.89,44.7
3.17,49.1
5.66,62.7
1.84,39.2
8.12,49.3
1.21,30.0
9.88,72.5
7.84,65.7
2.39,48.5
0.55,42.7
8.25,60.3
7.22,53.7
7.43,62.5
7.83,70.0
1.2,43.1
3.91,46.6
1.6,37.0
8.7,69.8
6.42,55.1
3.64,59.8
1.1,55.6
3.45,49.1
3.59,38.8
7.43,58.1
6.56,58.1
8.93,69.2
4.99,55.1
1.64,46.3
7.28,55.2
7.73,65.0
5.83,57.6
7.82,54.9
5.19,55.1
5.47,48.8
4.56,49.9
0.74,37.6
1.52,47.6
0.8,33.1
6.55,52.9
3.49,55.0
5.33,48.1
9.12,74.1
2.87,59.6
4.4,67.9
7.68,62.4
2.67,60.3
1.23,37.8
3.25,49.7
2.03,42.5
9.33,72.3
8.18,72.2
6.52,72.8
8.78,88.5
8.13,61.8
2.27,47.5
8.98,74.8
5.62,48.2
