거래일자,거래시간,지역,전력거래량(MWh)
2024-01-01,1,경기도,10459.29423
2024-01-01,2,경기도,9726.440019
2024-01-01,3,경기도,9168.335866
2024-01-01,4,경기도,8738.126226
2024-01-01,5,경기도,8690.533838
2024-01-01,6,경기도,8936.999561
2024-01-01,7,경기도,8755.718205
2024-01-01,8,경기도,8769.015863
2024-01-01,9,경기도,8689.148046
2024-01-01,10,경기도,8671.911007
2024-01-01,11,경기도,8764.428401
2024-01-01,12,경기도,8722.209021
2024-01-01,13,경기도,8656.149228
2024-01-01,14,경기도,8831.226527
2024-01-01,15,경기도,9325.968087
2024-01-01,16,경기도,9842.051507
2024-01-01,17,경기도,10447.25473
2024-01-01,18,경기도,11072.22729
2024-01-01,19,경기도,11479.8283
2024-01-01,20,경기도,11243.23992
2024-01-01,21,경기도,11032.54288
2024-01-01,22,경기도,10476.65497
2024-01-01,23,경기도,10011.26101
2024-01-01,24,경기도,9908.551111
2024-01-01,1,강원도,2979.268069
2024-01-01,2,강원도,2719.378647
2024-01-01,3,강원도,2623.847087
2024-01-01,4,강원도,2485.809427
2024-01-01,5,강원도,2461.844364
2024-01-01,6,강원도,2463.543755
2024-01-01,7,강원도,2835.632143
2024-01-01,8,강원도,2952.491118
2024-01-01,9,강원도,2950.819322
2024-01-01,10,강원도,2870.106892
2024-01-01,11,강원도,2690.357074
2024-01-01,12,강원도,2534.337583
2024-01-01,13,강원도,2579.172231
2024-01-01,14,강원도,2643.541295
2024-01-01,15,강원도,2581.738602
2024-01-01,16,강원도,2786.59549
2024-01-01,17,강원도,2945.607096
2024-01-01,18,강원도,3292.134179
2024-01-01,19,강원도,3330.758261
2024-01-01,20,강원도,3407.082743
2024-01-01,21,강원도,3317.760144
2024-01-01,22,강원도,3209.358455
2024-01-01,23,강원도,3322.846127
2024-01-01,24,강원도,3452.166883
2024-01-01,1,경상남도,2959.66739
2024-01-01,2,경상남도,2965.161695
2024-01-01,3,경상남도,2966.239811
2024-01-01,4,경상남도,2973.284919
2024-01-01,5,경상남도,2974.540391
2024-01-01,6,경상남도,2983.514269
2024-01-01,7,경상남도,3012.402133
2024-01-01,8,경상남도,3010.667128
2024-01-01,9,경상남도,2999.820368
2024-01-01,10,경상남도,2772.112898
2024-01-01,11,경상남도,2798.319937
2024-01-01,12,경상남도,2768.7316
2024-01-01,13,경상남도,2767.5582
2024-01-01,14,경상남도,2763.804185
2024-01-01,15,경상남도,2771.605386
2024-01-01,16,경상남도,2760.336969
2024-01-01,17,경상남도,2765.957676
2024-01-01,18,경상남도,3394.274879
2024-01-01,19,경상남도,3492.829139
2024-01-01,20,경상남도,3504.044194
2024-01-01,21,경상남도,3443.342626
2024-01-01,22,경상남도,3351.926209
2024-01-01,23,경상남도,3267.786047
2024-01-01,24,경상남도,3193.665391
2024-01-01,1,경상북도,10395.80984
2024-01-01,2,경상북도,10403.18429
2024-01-01,3,경상북도,10303.8463
2024-01-01,4,경상북도,10149.25755
2024-01-01,5,경상북도,10116.3232
2024-01-01,6,경상북도,10219.16769
2024-01-01,7,경상북도,10218.27896
2024-01-01,8,경상북도,10091.32098
2024-01-01,9,경상북도,10071.73336
2024-01-01,10,경상북도,10148.84039
2024-01-01,11,경상북도,10137.00042
2024-01-01,12,경상북도,10173.03982
2024-01-01,13,경상북도,10176.0446
2024-01-01,14,경상북도,10151.37779
2024-01-01,15,경상북도,10198.7726
2024-01-01,16,경상북도,10222.3519
2024-01-01,17,경상북도,10185.06323
2024-01-01,18,경상북도,10434.82328
2024-01-01,19,경상북도,10651.15386
2024-01-01,20,경상북도,10642.5517
2024-01-01,21,경상북도,10553.26507
2024-01-01,22,경상북도,10530.77645
2024-01-01,23,경상북도,10884.48486
2024-01-01,24,경상북도,10816.12433
2024-01-01,1,전라남도,5537.564531
2024-01-01,2,전라남도,5037.254213
2024-01-01,3,전라남도,4975.743224
2024-01-01,4,전라남도,4810.841593
2024-01-01,5,전라남도,4829.89612
2024-01-01,6,전라남도,5029.16351
2024-01-01,7,전라남도,5265.587078
2024-01-01,8,전라남도,5564.831208
2024-01-01,9,전라남도,5720.504528
2024-01-01,10,전라남도,5907.398051
2024-01-01,11,전라남도,5589.067548
2024-01-01,12,전라남도,5518.182088
2024-01-01,13,전라남도,5658.146816
2024-01-01,14,전라남도,5916.395386
2024-01-01,15,전라남도,5862.746219
2024-01-01,16,전라남도,6011.246248
2024-01-01,17,전라남도,6160.669498
2024-01-01,18,전라남도,6071.736306
